genre_ids,original_language,original_title,overview,popularity,poster_path,vote_average,title
"[80, 18, 28]",fr,Léon,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",53.768,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,8.3,Léon: The Professional
"[16, 53]",ja,PERFECT BLUE,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",27.641,/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,8.298,Perfect Blue
"[35, 10752]",en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,21.202,/nhMXB8GTdswYMCL9nepDZymJCOr.jpg,8.3,The Great Dictator
[18],en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,24.107,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,8.3,Sunset Boulevard
"[18, 37]",it,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",53.85,/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,8.3,Once Upon a Time in the West
"[10749, 16, 14]",ja,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.021,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,8.3,Hotarubi no Mori e
"[16, 878, 28, 18]",ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.",27.753,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,8.3,Neon Genesis Evangelion: The End of Evangelion
"[35, 18, 10749]",en,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",16.502,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,8.3,Modern Times
"[18, 35]",fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,63.076,/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,8.273,The Intouchables
"[18, 10752]",en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",52.987,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,8.273,Apocalypse Now
"[18, 10751, 14]",en,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",47.762,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,8.3,It's a Wonderful Life
"[35, 18, 10749]",en,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,14.515,/ugmakEL5y294I5bXgiBqApuZpwc.jpg,8.3,City Lights
"[99, 10402]",en,One Direction: This Is Us,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis' meteoric rise to fame, from their humble hometown beginnings and competing on the X-Factor, to conquering the world and performing at London’s famed O2 Arena. Hear it from the boys themselves and see through their own eyes what it's really like to be One Direction.",9.387,/b720e7DW3nqRJaUH9xpTtvYhnUj.jpg,8.3,One Direction: This Is Us
"[10752, 18, 36]",en,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,15.485,/tJXwtzOSNUC8dxJfrdvkNtGrrgW.jpg,8.3,Paths of Glory
[18],tr,7. Koğuştaki Mucize,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",28.499,/bOth4QmNyEkalwahfPCfiXjNh1r.jpg,8.258,Miracle in Cell No. 7
"[18, 10402]",it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",16.607,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,8.3,The Legend of 1900
"[10751, 16, 18]",en,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",108.827,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,8.3,The Lion King
"[18, 53, 9648, 28]",ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",58.994,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,8.255,Oldboy
"[10402, 18, 10749]",en,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",16.396,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,8.2,Clouds
"[18, 10749]",en,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",22.158,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,8.247,Life in a Year
"[18, 10752]",ru,Иди и смотри,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",27.519,/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,8.247,Come and See
"[10749, 18]",en,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",47.474,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,8.243,Five Feet Apart
"[16, 10751, 12, 35, 14]",en,Klaus,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",20.216,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,8.241,Klaus
"[12, 878, 28]",en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",113.996,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,8.241,Avengers: Endgame
"[12, 28, 878]",en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",239.727,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,8.239,Avengers: Infinity War
"[18, 36]",en,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",58.063,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,8.2,Green Book
